"title","audience_score","type","genre","runtime","year","mpaa_rating","imdb_num_votes","critics_score","critics_rating","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","audience_rating","director","actor1","actor2","actor3","actor4","actor5","rt_url","imdb_url","imdb_id"
"Fried Green Tomatoes",91,"Feature Film","Drama",130,1991,"PG-13",44183,73,"Fresh","no","no","no","yes","no","Upright","Jon Avnet","Marie-Louise Parker","Kathy Bates","Jessica Tandy","Mary Stuart Masterson","Mary-Louise Parker","http://www.rottentomatoes.com/m/fried_green_tomatoes/","http://www.imdb.com/title/tt0101921/","101921"
"The Rose",81,"Feature Film","Other",125,1979,"R",5090,80,"Fresh","no","no","no","no","no","Upright","Mark Rydell","Bette Midler","Alan Bates","Frederic Forrest","Harry Dean Stanton","David Keith","http://www.rottentomatoes.com/m/1017887-rose/","http://www.imdb.com/title/tt0079826/","79826"
"Bread and Tulips",86,"Feature Film","Drama",114,2000,"PG-13",7227,71,"Fresh","no","no","no","no","no","Upright","Silvio Soldini","Licia Maglietta","Bruno Ganz","Giuseppe Battiston","Marina Massironi","Antonio Catania","http://www.rottentomatoes.com/m/bread_and_tulips/","http://www.imdb.com/title/tt0237539/","237539"
"Cannibal Holocaust",63,"Feature Film","Horror",95,1980,"NC-17",31643,65,"Fresh","no","no","no","no","no","Upright","Ruggero Deodato","Robert Kerman","Francesca Ciardi","Perry Pirkanen","Luca Barbareschi","Salvatore Basile","http://www.rottentomatoes.com/m/cannibal_holocaust/","http://www.imdb.com/title/tt0078935/","78935"
"Marvin's Room",62,"Feature Film","Drama",98,1996,"PG-13",16815,80,"Certified Fresh","no","no","no","yes","no","Upright","Jerry Zaks","Meryl Streep","Diane Keaton","Leonardo DiCaprio","Hume Cronyn","Gwen Verdon","http://www.rottentomatoes.com/m/marvins_room/","http://www.imdb.com/title/tt0116999/","116999"
"Brainscan",61,"Feature Film","Other",96,1994,"R",7354,18,"Rotten","no","no","no","no","no","Upright","John Flynn","Edward Furlong","T. Ryder Smith","Frank Langella","Amy Hargreaves","Jamie Marsh","http://www.rottentomatoes.com/m/brainscan/","http://www.imdb.com/title/tt0109327/","109327"
"Bad Boys",81,"Feature Film","Drama",104,1983,"R",9345,93,"Fresh","no","no","yes","no","no","Upright","Rick Rosenthal","Sean Penn","Reni Santoni","Jim Moody","Eric Gurry","Esai Morales","http://www.rottentomatoes.com/m/bad_boys_1982/","http://www.imdb.com/title/tt0085210/","85210"
"Being There",92,"Feature Film","Drama",130,1979,"PG",45101,96,"Certified Fresh","no","no","no","yes","no","Upright","Hal Ashby","Peter Sellers","Shirley MacLaine","Melvyn Douglas","Jack Warden","Richard Dysart","http://www.rottentomatoes.com/m/being_there/","http://www.imdb.com/title/tt0078841/","78841"
"Breach",67,"Feature Film","Mystery & Suspense",110,2007,"PG-13",49025,84,"Certified Fresh","no","no","no","no","no","Upright","Billy Ray","Chris Cooper","Ryan Phillippe","Laura Linney","Caroline Dhavernas","Gary Cole","http://www.rottentomatoes.com/m/breach/","http://www.imdb.com/title/tt0401997/","401997"
"The Paperboy",33,"Feature Film","Drama",107,2012,"R",23324,43,"Rotten","no","no","yes","yes","no","Spilled","Lee Daniels","Matthew McConaughey","Zac Efron","Nicole Kidman","John Cusack","David Oyelowo","http://www.rottentomatoes.com/m/the_paperboy_2012/","http://www.imdb.com/title/tt1496422/","1496422"
"Seems Like Old Times",65,"Feature Film","Comedy",100,1980,"PG",5495,75,"Fresh","no","no","no","no","no","Upright","Jay Sandrich","Goldie Hawn","Chevy Chase","Charles Grodin","Robert Guillaume","Harold Gould","http://www.rottentomatoes.com/m/seems_like_old_times/","http://www.imdb.com/title/tt0081480/","81480"
"Fired Up!",52,"Feature Film","Comedy",90,2009,"PG-13",32872,23,"Rotten","no","no","no","no","no","Spilled","Will Gluck","Danneel Harriss","Edie McClurg","Nick D'Agosto","Eric Christian Olsen","Sarah Roemer","http://www.rottentomatoes.com/m/fired_up/","http://www.imdb.com/title/tt1083456/","1083456"
"Buried",64,"Feature Film","Mystery & Suspense",95,2010,"R",100430,87,"Certified Fresh","no","no","no","no","no","Upright","Rodrigo Cortes","Jose Luis Garcia-Perez","Ryan Reynolds","Ivana Mino","Jose Luis Garcia Perez","Robert Paterson","http://www.rottentomatoes.com/m/buried/","http://www.imdb.com/title/tt1462758/","1462758"
"Lost in Translation",86,"Feature Film","Drama",101,2003,"R",274419,95,"Certified Fresh","yes","no","no","no","no","Upright","Sofia Coppola","Bill Murray","Scarlett Johansson","Giovanni Ribisi","Anna Faris","Akiko Takeshita","http://www.rottentomatoes.com/m/lost_in_translation/","http://www.imdb.com/title/tt0335266/","335266"
"The Black Stallion",84,"Feature Film","Action & Adventure",118,1979,"G",7387,86,"Fresh","no","no","no","no","no","Upright","Carroll Ballard","Kelly Reno","Mickey Rooney","Teri Garr","Clarence Muse","Hoyt Axton","http://www.rottentomatoes.com/m/black_stallion/","http://www.imdb.com/title/tt0078872/","78872"
"Cadence",71,"Feature Film","Mystery & Suspense",97,1990,"PG-13",3934,42,"Rotten","no","no","no","no","no","Upright","Martin Sheen","Charlie Sheen","Ramon Estevez","F Murray Abraham","Laurence Fishburne","Blu Mankuma","http://www.rottentomatoes.com/m/cadence/","http://www.imdb.com/title/tt0101531/","101531"
"Circle of Iron",59,"Feature Film","Action & Adventure",102,1978,"R",1482,43,"Rotten","no","no","no","no","no","Spilled","Richard Moore","David Carradine","Jeff Cooper","Roddy McDowall","Eli Wallach","Erica Creer","http://www.rottentomatoes.com/m/circle_of_iron/","http://www.imdb.com/title/tt0078975/","78975"
"Anonymous",53,"Feature Film","Other",130,2011,"PG-13",30512,46,"Rotten","no","no","no","no","no","Spilled","Roland Emmerich","Rhys Ifans","Vanessa Redgrave","Joely Richardson","Sebastian Armesto","Rafe Spall","http://www.rottentomatoes.com/m/anonymous_2011/","http://www.imdb.com/title/tt1521197/","1521197"
"Metro",27,"Feature Film","Drama",117,1997,"R",18706,15,"Rotten","no","no","no","no","no","Spilled","Thomas Carter (II)","Eddie Murphy","Michael Rapaport","Kim Miyori","Art Evans","James Carpenter","http://www.rottentomatoes.com/m/1074675-1074675-metro/","http://www.imdb.com/title/tt0119664/","119664"
"A Late Quartet",70,"Feature Film","Drama",105,2012,"R",8363,78,"Certified Fresh","no","no","yes","no","no","Upright","Yaron Zilberman","Philip Seymour Hoffman","Catherine Keener","Christopher Walken","Mark Ivanir","Imogen Poots","http://www.rottentomatoes.com/m/a_late_quartet/","http://www.imdb.com/title/tt1226240/","1226240"
"Unknown",54,"Feature Film","Mystery & Suspense",85,2006,"R",23377,38,"Rotten","no","no","no","no","no","Spilled","Simon Brand","Jim Caviezel","Greg Kinnear","Bridget Moynahan","Joe Pantoliano","Barry Pepper","http://www.rottentomatoes.com/m/unknown/","http://www.imdb.com/title/tt0450340/","450340"
"Return of the Living Dead III",39,"Feature Film","Horror",97,1993,"R",8669,44,"Rotten","no","no","no","no","no","Spilled","Brian Yuzna","Melinda Clarke","J. Trevor Edmond","Kent McCord","Basil Wallace","Sarah Douglas","http://www.rottentomatoes.com/m/return_of_the_living_dead_3/","http://www.imdb.com/title/tt0107953/","107953"
"Romeo & Juliet",48,"Feature Film","Drama",118,2013,"PG-13",5415,22,"Rotten","no","no","no","no","no","Spilled","Carlo Carlei","Stellan Skarsgaard","Hailee Steinfeld","Douglas Booth","Ed Westwick","Kodi Smit-McPhee","http://www.rottentomatoes.com/m/romeo_and_juliet_2012/","http://www.imdb.com/title/tt1645131/","1645131"
"The 'Burbs",72,"Feature Film","Mystery & Suspense",101,1989,"PG",43211,46,"Rotten","no","no","yes","no","no","Upright","Joe Dante","Tom Hanks","Bruce Dern","Carrie Fisher","Rick Ducommon","Corey Feldman","http://www.rottentomatoes.com/m/the_burbs/","http://www.imdb.com/title/tt0096734/","96734"
"The Gift",55,"Feature Film","Mystery & Suspense",112,2000,"R",45532,57,"Rotten","no","no","no","yes","no","Spilled","Sam Raimi","Danny Elfman","Stuart Greer","Alex Lee","Cate Blanchett","Keanu Reeves","http://www.rottentomatoes.com/m/1103231-gift/","http://www.imdb.com/title/tt0219699/","219699"
"Slam",84,"Feature Film","Drama",100,1998,"R",1889,62,"Fresh","no","no","no","no","no","Upright","Marc Levin","Bonz Maline","Saul Williams","Sonja Sohn","Bonz Malone","Lawrence Wilson","http://www.rottentomatoes.com/m/slam/","http://www.imdb.com/title/tt0139615/","139615"
"Nanny McPhee",64,"Feature Film","Comedy",97,2005,"PG",40377,73,"Certified Fresh","no","no","yes","yes","no","Upright","Kirk Jones","Emma Thompson","Colin Firth","Thomas Brodie-Sangster","Raphael Coleman","Jennifer Rae Daykin","http://www.rottentomatoes.com/m/1153987-nanny_mcphee/","http://www.imdb.com/title/tt0396752/","396752"
"Waterworld",43,"Feature Film","Action & Adventure",135,1995,"PG-13",121880,43,"Rotten","no","no","no","no","yes","Spilled","Kevin Costner","Donald Patrick Harvey","Jeanne Tripplehorn","Tina Majorino","Dennis Hopper","Michael Jeter","http://www.rottentomatoes.com/m/waterworld/","http://www.imdb.com/title/tt0114898/","114898"
"Breaking the Waves",92,"Feature Film","Drama",159,1996,"R",41506,87,"Certified Fresh","no","no","no","no","no","Upright","Lars von Trier","Stellan Skarsgaard","Emily Watson","Stellan Skarsgard","Katrin Cartlidge","Jean-Marc Barr","http://www.rottentomatoes.com/m/breaking_the_waves/","http://www.imdb.com/title/tt0115751/","115751"
"Locke",70,"Feature Film","Mystery & Suspense",85,2013,"R",37983,89,"Certified Fresh","no","no","no","no","no","Upright","Steven Knight","Tom Hardy","Tom Holland","Tom Holland (X)","Bill Milner","Andrew Scott","http://www.rottentomatoes.com/m/locke/","http://www.imdb.com/title/tt2692904/","2692904"
"Sacrifice",91,"Feature Film","Drama",142,1986,"PG",11173,83,"Fresh","no","no","no","no","no","Upright","Andrei Tarkovsky","Erland Josephson","Susan Fleetwood","Tommy Kjellqvist","Allan Edwall","Gudrun Gisladottir","http://www.rottentomatoes.com/m/1018055-sacrifice/","http://www.imdb.com/title/tt0091670/","91670"
"The Driver",77,"Feature Film","Mystery & Suspense",91,1978,"PG",7190,85,"Fresh","no","no","no","no","no","Upright","Walter Hill","Ryan O'Neal","Bruce Dern","Isabelle Adjani","Ronee Blakely","Matt Clark","http://www.rottentomatoes.com/m/driver/","http://www.imdb.com/title/tt0077474/","77474"
"Top Dog",36,"Feature Film","Action & Adventure",86,1995,"PG-13",2027,0,"Rotten","no","no","no","no","no","Spilled","Aaron Norris","Chuck Norris","Clyde Kusatsu","Michele Lamar Richards","Peter S. Moore","Peter Savard Moore","http://www.rottentomatoes.com/m/1059857-top_dog/","http://www.imdb.com/title/tt0114697/","114697"
"Bite the Bullet",50,"Feature Film","Other",132,1975,"PG",3103,71,"Fresh","no","no","yes","no","no","Spilled","Diego Munoz","Gene Hackman","James Coburn","Candice Bergen","Ben Johnson","Ian Bannen","http://www.rottentomatoes.com/m/bite_the_bullet/","http://www.imdb.com/title/tt0072705/","72705"
"Perfume: The Story of a Murderer",74,"Feature Film","Mystery & Suspense",147,2006,"R",162693,58,"Rotten","no","no","yes","no","no","Upright","Tom Tykwer","Ben Wishaw","Ben Whishaw","Dustin Hoffman","Alan Rickman","Rachel Hurd-Wood","http://www.rottentomatoes.com/m/perfume_the_story_of_a_murderer/","http://www.imdb.com/title/tt0396171/","396171"
"Taxi",43,"Feature Film","Action & Adventure",97,2004,"PG-13",27994,10,"Rotten","no","no","no","no","no","Spilled","Tim Story","Queen Latifah","Jimmy Fallon","Henry Simmons","Jennifer Esposito","Gisele Bundchen","http://www.rottentomatoes.com/m/taxi/","http://www.imdb.com/title/tt0316732/","316732"
"Pride and Prejudice",56,"Feature Film","Comedy",104,2003,"PG",1802,66,"Fresh","no","no","no","no","no","Spilled","Andrew Black (III)","Kam Heskin","Kam Herskin","Orlando Seale","Ben Gourley","Lucila Sola","http://www.rottentomatoes.com/m/1136501-pride_and_prejudice/","http://www.imdb.com/title/tt0366920/","366920"
"Brüno",41,"Feature Film","Comedy",81,2009,"R",102647,68,"Fresh","no","no","no","no","no","Spilled","Dan Mazer","Gustaf Hammarsten","Paula Abdul","LaToya Jackson","Harrison Ford","Ron Paul","http://www.rottentomatoes.com/m/bruno/","http://www.imdb.com/title/tt0889583/","889583"
"1900",85,"Feature Film","Other",317,1976,"R",15414,47,"Rotten","no","no","yes","no","yes","Upright","Bernardo Bertolucci","Maria Schneider","Burt Lancaster","Gerard Depardieu","Robert De Niro","Romolo Valli","http://www.rottentomatoes.com/m/1000039-1900/","http://www.imdb.com/title/tt0074084/","74084"
"The Babysitters",31,"Feature Film","Drama",88,2007,"R",6530,33,"Rotten","no","no","no","no","no","Spilled","David Ross","John Leguizamo","Cynthia Nixon","Katherine Waterston","Andy Comeau","Denis O'Hare","http://www.rottentomatoes.com/m/babysitters/","http://www.imdb.com/title/tt0796302/","796302"
"Savior",82,"Feature Film","Drama",103,1998,"R",7957,56,"Rotten","no","no","no","no","no","Upright","Predrag Antonijevic","Stellan Skarsgaard","Dennis Quaid","Nastassja Kinski","Natasa Ninkovic","Stellan Skarsgard","http://www.rottentomatoes.com/m/savior/","http://www.imdb.com/title/tt0120070/","120070"
"The Island of Dr. Moreau",46,"Feature Film","Action & Adventure",99,1977,"PG",3289,47,"Rotten","no","no","yes","no","no","Spilled","Don Taylor","Burt Lancaster","Michael York","Nigel Davenport","Richard Basehart","Barbara Carrera","http://www.rottentomatoes.com/m/1010752-island_of_dr_moreau/","http://www.imdb.com/title/tt0076210/","76210"
"Horton Hears a Who!",73,"Feature Film","Action & Adventure",86,2008,"G",92126,79,"Certified Fresh","no","no","no","no","no","Upright","Steve Martino","Samantha Droke","Ellie Martino","Isabella Acres","Mona Marshall","Connor Anderson","http://www.rottentomatoes.com/m/horton-hears-a-who2008/","http://www.imdb.com/title/tt0451079/","451079"
"O Lucky Man!",87,"Feature Film","Drama",178,1973,"R",5309,82,"Fresh","no","no","no","yes","no","Upright","Lindsay Anderson","Malcolm McDowell","Ralph Richardson","Dandy Nichols","Arthur Lowe","Helen Mirren","http://www.rottentomatoes.com/m/o_lucky_man/","http://www.imdb.com/title/tt0070464/","70464"
"Volcano",31,"Feature Film","Drama",104,1997,"PG-13",50256,44,"Rotten","no","no","no","no","no","Spilled","Mick Jackson","Linda Timmerman","Tommy Lee Jones","Anne Heche","Gaby Hoffmann","Don Cheadle","http://www.rottentomatoes.com/m/1076267-volcano/","http://www.imdb.com/title/tt0120461/","120461"
"The Affair of the Necklace",43,"Feature Film","Drama",118,2001,"R",4085,15,"Rotten","no","no","yes","yes","no","Spilled","Charles Shyer","Hilary Swank","Jonathan Pryce","Simon Baker","Adrien Brody","Brian Cox","http://www.rottentomatoes.com/m/affair_of_the_necklace/","http://www.imdb.com/title/tt0242252/","242252"
"Ben",44,"Feature Film","Mystery & Suspense",94,1972,"PG",1317,57,"Rotten","no","no","no","no","no","Spilled","Phil Karlson","Lee H. Montgomery","Joseph Campanella","Arthur O'Connell","Rosemary Murphy","Meredith Baxter","http://www.rottentomatoes.com/m/ben/","http://www.imdb.com/title/tt0068264/","68264"
