Submission Id,Final Score,Grader's comments,"Part 1, Question 1, Response","Part 1, Question 1, Grader's comments","Part 1, Question 2, Response","Part 1, Question 2, Grader's comments","Part 1, Question 3, Response","Part 1, Question 3, Grader's comments","Part 1, Question 4, Response","Part 1, Question 4, Grader's comments","Part 1, Question 5, Response","Part 1, Question 5, Grader's comments","Part 1, Question 6, Response","Part 1, Question 6, Grader's comments","Part 1, Question 7, Response","Part 1, Question 7, Grader's comments","Part 1, Question 8, Response","Part 1, Question 8, Grader's comments","Part 1, Question 9, Response","Part 1, Question 9, Grader's comments","Part 1, Question 10, Response","Part 1, Question 10, Grader's comments","Part 1, Question 11, Response","Part 1, Question 11, Grader's comments","Part 1, Question 12, Response","Part 1, Question 12, Grader's comments","Part 1, Question 13, Response","Part 1, Question 13, Grader's comments","Part 1, Question 14, Response","Part 1, Question 14, Grader's comments","Part 1, Question 15, Response","Part 1, Question 15, Grader's comments","Part 1, Question 16, Response","Part 1, Question 16, Grader's comments","Part 1, Question 17, Response","Part 1, Question 17, Grader's comments","Part 1, Question 18, Response","Part 1, Question 18, Grader's comments","Part 1, Question 19, Response","Part 1, Question 19, Grader's comments","Part 1, Question 20, Response","Part 1, Question 20, Grader's comments","Part 1, Question 21, Response","Part 1, Question 21, Grader's comments","Part 1, Question 22, Response","Part 1, Question 22, Grader's comments","Part 1, Question 23, Response","Part 1, Question 23, Grader's comments","Part 1, Question 24, Response","Part 1, Question 24, Grader's comments","Part 1, Question 25, Response","Part 1, Question 25, Grader's comments","Part 1, Question 26, Response","Part 1, Question 26, Grader's comments","Part 1, Question 27, Response","Part 1, Question 27, Grader's comments","Part 1, Question 28, Response","Part 1, Question 28, Grader's comments","Part 1, Question 29, Response","Part 1, Question 29, Grader's comments","Part 1, Question 30, Response","Part 1, Question 30, Grader's comments","Part 1, Question 31, Response","Part 1, Question 31, Grader's comments","Part 1, Question 32, Response","Part 1, Question 32, Grader's comments","Part 1, Question 33, Response","Part 1, Question 33, Grader's comments","Part 1, Question 34, Response","Part 1, Question 34, Grader's comments","Part 1, Question 35, Response","Part 1, Question 35, Grader's comments","Part 1, Question 36, Response","Part 1, Question 36, Grader's comments","Part 1, Question 37, Response","Part 1, Question 37, Grader's comments","Part 1, Question 38, Response","Part 1, Question 38, Grader's comments","Part 1, Question 39, Response","Part 1, Question 39, Grader's comments","Part 1, Question 40, Response","Part 1, Question 40, Grader's comments","Part 1, Question 41, Response","Part 1, Question 41, Grader's comments","Part 1, Question 42, Response","Part 1, Question 42, Grader's comments","Part 1, Question 43, Response","Part 1, Question 43, Grader's comments","Part 1, Question 44, Response","Part 1, Question 44, Grader's comments","Part 1, Question 45, Response","Part 1, Question 45, Grader's comments","Part 1, Question 46, Response","Part 1, Question 46, Grader's comments","Part 1, Question 47, Response","Part 1, Question 47, Grader's comments","Part 1, Question 48, Response","Part 1, Question 48, Grader's comments","Part 1, Question 49, Response","Part 1, Question 49, Grader's comments","Part 1, Question 50, Response","Part 1, Question 50, Grader's comments","Part 1, Question 51, Response","Part 1, Question 51, Grader's comments","Part 1, Question 52, Response","Part 1, Question 52, Grader's comments","Part 1, Question 53, Response","Part 1, Question 53, Grader's comments"
646761,0,,No Answer,,Southeast,,First-year,,Brown,,East,,Soccer,,meh,,none of these,,Twitter,,yes,,1: 1,,1: 2,,1: 2,,None,,blue,,1: 0,,1: 13,,1: 3,,What even is the Perimeter ,,None of the above,,1: 3,,Yes,,Maple Syrup,,no,,"no, I was not eligible due to age or citizenship status",,Athletic Team,,Time,,1: 10,,1: 6,,1: 5,,1: 5,,Coke,,Ross,,1,,House Stark,,How I Met Your Mother,,Soft tacos,,Blastoise,,1: 6,,Cheddar,,Dog,,Pizza,,fruity,,Chipotle,,No,,No,,Old Spice/Axe/Perfume,,1: 50,,watery pasta,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 2,
646851,0,,No Answer,,Southeast,,First-year,,Blonde,,East,,Soccer,,yes,,Beyonce,,Vine,,it’s complicated,,1: 2,,1: 3,,1: 1,,Nutella,,blue,,1: 3,,1: 14,,1: 20,,Inside,,Divinity Refectory,,1: 2,,No,,Ketchup,,yes,,"no, I was not eligible due to age or citizenship status",,Greek life,,Time,,1: 4,,1: 0,,1: 6,,1: 2,,Coke,,Chandler,,1,,I don’t know what you are talking about.,,Friends,,Salad,,Jigglypuff,,1: 5,,Pepperjack,,Dog,,Cosmic,,fruity,,Chipotle,,Yes,,No,,Bakery,,1: 48,,powdered eggs,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 1,
646994,0,,1: 0,,Southwest,,Senior,,Black,,West,,Basketball,,yes,,none of these,,Snapchat,,yes,,1: 1,,1: 3,,1: 0,,Nutella,,blue,,1: 8,,1: 21,,1: 2,,N/A,,Blue Express,,1: 3,,Yes,,Honey Mustard,,no,,yes,,No Answer,,Time,,1: 2,,1: 2,,1: 5,,1: 3,,Coke,,Monica,,4,,I don’t know what you are talking about.,,How I Met Your Mother,,Burrito Bowl,,Charizard,,1: 8,,Pepperjack,,Dog,,Pitchforks,,sweet-and-salty,,Chipotle,,Sometimes,,Yes,,Bakery,,1: 57,,chocolate covered crickets,,Harry Potter,,Legend of Zelda,,Ravenclaw (because I’m better than you),,1: 0,
647382,0,,1: one,,Mid-Atlantic,,First-year,,Brown,,East,,Football,,hell yes,,Beyonce,,Instagram,,no,,1: one,,1: one,,1: one,,Peanut butter,,none,,1: four,,1: fourteen,,1: ten,,Outside,,Divinity Refectory,,1: three,,Yes,,Honey Mustard,,no,,"no, I was eligible but chose not to vote",,Athletic Team,,Time,,1: one,,1: 0,,1: four,,1: two,,Coke,,Rachel,,4,,I don’t know what you are talking about.,,House of Cards,,Burrito Bowl,,Jigglypuff,,1: six,,Cheddar,,Dog,,Cosmic,,vanilla,,Chipotle,,Yes,,No,,Bakery,,1: fourty one,,chocolate covered crickets,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: five,
647468,0,,1: 0,,California,,Junior,,Black,,West,,Soccer,,yes,,none of these,,Instagram,,no,,1: 1,,1: 2,,1: 2,,Nutella,,none,,1: 7,,1: 12,,1: 12,,What even is the Perimeter ,,None of the above,,1: 5,,Yes,,Sriracha,,no,,"no, I was eligible but chose not to vote",,Greek life,,Time,,1: 7,,1: 2,,1: 0,,1: 3,,Coke,,Rachel,,3,,House Stark,,Gilmore Girls,,Burrito Bowl,,Jigglypuff,,1: 3,,None of the above,,Dog,,Pitchforks,,sour,,Chipotle,,Sometimes,,Yes,,Clean Laundry,,1: 50,,salad bar,,Game of Thrones,,Lord of the Rings,,Slytherin (because I’ll cut you),,1: 3,
647798,0,,1: 2,,Midwest,,First-year,,Blonde,,East,,Basketball,,yes,,none of these,,Twitter,,no,,1: 1,,1: 1,,1: 2,,Some combination of two,,unsure,,1: 4,,1: 14,,1: 3,,N/A,,The Loop,,1: 4,,No,,Soy Sauce,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 5,,1: 4,,1: 3,,1: 2,,Coke,,Rachel,,3,,House Tyrell,,House of Cards,,Burrito Bowl,,Rayquaza,,1: 6,,None of the above,,Dog,,Cookout,,vanilla,,Cosmic,,Sometimes,,No,,Old Spice/Axe/Perfume,,1: 52,,powdered eggs,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 1,
647836,0,,1: 0,,Mid-Atlantic,,First-year,,Brown,,East,,Football,,yes,,Taylor swift,,Facebook,,no,,1: 1,,1: 2,,1: 2,,Some combination of two,,none,,1: 6,,1: 16,,1: 3,,What even is the Perimeter ,,The Loop,,1: 6,,No,,Soy Sauce,,no,,"no, I was eligible but chose not to vote",,Athletic Team,,Time,,1: 5,,1: 2,,1: 0,,1: 5,,Neither they’re nasty,,Rachel,,4,,I don’t know what you are talking about.,,Friends,,Burrito Bowl,,Jigglypuff,,1: 6,,Blue,,I’m not an animal person,,Pizza,,chocolate,,Parker and Otis,,No,,Yes,,Bakery,,1: 46,,powdered eggs,,Hunger Games,,Legend of Zelda,,Hufflepuff (because I’m good at something),,1: 2,
648087,0,,1: 1,,California,,First-year,,Brown,,East,,Soccer,,hell yes,,none of these,,Twitter,,no,,1: 3,,1: 1,,1: 0,,Peanut butter,,black,,1: 1,,1: 17,,1: 5,,All of the Above,,The Loop,,1: 10,,Yes,,Maple Syrup,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 7,,1: 3,,1: 0,,1: 5,,Pepsi,,Rachel,,2,,House Targaryen,,House of Cards,,Burrito Bowl,,Blastoise,,1: 6,,Cheddar,,Dog,,Cookout,,chocolate,,Chipotle,,No,,Yes,,Pine,,1: 49,,watery pasta,,Game of Thrones,,Harry Potter,,Gryffindor (because I’m a badass),,1: 1,
648138,0,,1: 0,,Mid-Atlantic,,First-year,,Brown,,East,,Basketball,,hell yes,,Taylor swift,,Twitter,,it’s complicated,,1: 1,,1: 2,,1: 0,,None,,unsure,,1: 4,,1: 19,,1: 2,,What even is the Perimeter ,,No Answer,,1: 10,,No,,Sriracha,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 2,,1: 2,,1: 0,,1: 2,,Neither they’re nasty,,Janice,,2,,I don’t know what you are talking about.,,Breaking Bad,,Salad,,Charizard,,No Answer,,None of the above,,Dog,,Pizza,,chocolate,,Satisfactions,,No,,No,,Pizza,,1: 54,,watery pasta,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 0,
648241,0,,1: 4,,Southeast,,First-year,,Brown,,East,,Soccer,,hell yes,,Kanye West,,Yikyak,,yes,,1: 2,,1: 2,,1: 2,,All three,,unsure,,1: 6,,1: 13,,1: 1,,What even is the Perimeter ,,Divinity Refectory,,1: 4,,Yes,,Sriracha,,yes,,yes,,Independent,,Time,,1: 5,,1: 1,,1: 4,,1: 2,,Coke,,Gunther,,3,,House Tyrell,,How I Met Your Mother,,Burrito Bowl,,Charizard,,1: 6,,Pepperjack,,Cat,,Cosmic,,fruity,,Chipotle,,Shhhhh….,,No,,Pine,,1: 56,,powdered eggs,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 3,
648305,0,,No Answer,,California,,First-year,,Black,,East,,Basketball,,meh,,Taylor swift,,Facebook,,no,,1: 0,,1: 2,,1: 1,,Peanut butter,,blue,,1: 9,,1: NA,,1: 4,,All of the Above,,Blue Express,,1: 20,,Yes,,Soy Sauce,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 13,,1: 3,,1: 14,,1: 1,,Coke,,Rachel,,3,,I don’t know what you are talking about.,,House of Cards,,Burrito,,Charizard,,1: 7,,Feta,,I’m not an animal person,,Cookout,,vanilla,,Harris Teeter’s,,Shhhhh….,,Yes,,Bakery,,1: 58,,powdered eggs,,Harry Potter,,Harry Potter,,Hufflepuff (because I’m good at something),,1: 1,
648318,0,,No Answer,,Southeast,,Sophomore,,Black,,West,,I don’t watch sports,,yes,,Taylor swift,,Facebook,,no,,1: 1,,1: 2,,1: 0,,Nutella,,none,,1: 9,,1: NA,,1: 0,,What even is the Perimeter ,,The Loop,,1: 4,,Yes,,Honey Mustard,,no,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 11,,1: 0,,1: 0,,1: 0,,Neither they’re nasty,,Phoebe,,3,,I don’t know what you are talking about.,,How I Met Your Mother,,Burrito,,Jigglypuff,,1: I don't know,,Pepperjack,,Dog,,Cookout,,vanilla,,Harris Teeter’s,,No,,Yes,,Bakery,,1: 53.5,,chocolate covered crickets,,Hunger Games,,Harry Potter,,Hufflepuff (because I’m good at something),,1: 0,
648500,0,,1: 3,,Southeast,,Sophomore,,Brown,,Central,,Basketball,,meh,,Taylor swift,,Instagram,,yes,,1: 1,,1: 2,,1: 3,,Peanut butter,,none,,1: 5,,1: 12,,1: 6,,Inside,,Other,,1: 8,,Yes,,Ketchup,,no,,yes,,Greek life,,Outer space,,1: 8,,1: 1,,1: 0,,1: 3,,Pepsi,,Joey,,1,,I don’t know what you are talking about.,,Friends,,Burrito,,Jigglypuff,,1: 5,,Goat,,Dog,,Pizza,,vanilla,,Chipotle,,Sometimes,,No,,Old Spice/Axe/Perfume,,1: 54,,watery pasta,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 5,
648816,0,,1: 2,,New England,,Junior,,Brown,,West,,Other,,yes,,none of these,,Facebook,,no,,1: 0,,1: 2,,1: 0,,Nutella,,unsure,,1: 17,,1: NA,,1: 8,,What even is the Perimeter ,,None of the above,,1: 6,,Yes,,Soy Sauce,,no,,yes,,Independent,,Time,,1: 15,,1: 2,,1: 5,,1: 10,,Coke,,Joey,,5,,House Targaryen,,House of Cards,,Burrito Bowl,,Charizard,,1: 6,,Cheddar,,Dog,,Cookout,,vanilla,,Chipotle,,Sometimes,,Yes,,Bakery,,1: 58,,watery pasta,,Lord of the Rings/Hobbit,,Lord of the Rings,,Gryffindor (because I’m a badass),,1: 0,
648817,0,,1: 0,,Mid-Atlantic,,Junior,,Black,,West,,Other,,hell yes,,Beyonce,,Facebook,,it’s complicated,,1: 1,,1: 3,,1: 1,,Nutella,,none,,1: 14,,1: 14,,1: 10,,What even is the Perimeter ,,Other,,1: 12,,Yes,,Sriracha,,no,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 17,,1: 4,,1: 5,,1: 5,,Coke,,Joey,,3,,House Targaryen,,House of Cards,,Burrito Bowl,,Charizard,,1: 4,,Brie,,Dog,,Cookout,,chocolate,,Parker and Otis,,Yes,,No,,Clean Laundry,,1: 58,,watery pasta,,Harry Potter,,Harry Potter,,Ravenclaw (because I’m better than you),,1: 1,
649344,0,,1: 4,,Southeast,,Junior,,Blonde,,West,,Basketball,,yes,,none of these,,Instagram,,yes,,1: 3,,1: 2,,1: 2,,Peanut butter,,none,,1: 5,,1: 6,,1: 5,,What even is the Perimeter ,,Edens Cafe (lol),,1: 2,,Yes,,Maple Syrup,,no,,yes,,Athletic Team,,Time,,1: 1,,1: 1,,1: 1,,1: 2,,No preference,,Rachel,,3,,I don’t know what you are talking about.,,Breaking Bad,,Burrito Bowl,,Blastoise,,1: 8,,Pepperjack,,Dog,,Cookout,,chocolate,,Chipotle,,No,,No,,Sharpie,,1: 57,,chocolate covered crickets,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 4,
649495,0,,1: 0,,Southeast,,Junior,,Black,,West,,Other,,meh,,none of these,,Youtube,,no,,1: 2,,1: 2,,1: 0,,Some combination of two,,none,,1: 4,,1: NA,,1: 4,,What even is the Perimeter ,,Divinity Refectory,,1: 0,,Yes,,Maple Syrup,,no,,yes,,Independent,,Outer space,,1: 6,,1: 1,,1: 0,,1: 1,,Neither they’re nasty,,Rachel,,3,,I don’t know what you are talking about.,,Gilmore Girls,,Burrito Bowl,,Blastoise,,1: 5,,Brie,,Dog,,Jimmy John’s,,vanilla,,Chipotle,,No,,Yes,,Bakery,,1: 55,,powdered eggs,,Harry Potter,,Harry Potter,,Gryffindor (because I’m a badass),,1: 0,
649539,0,,1: 1,,Midwest,,First-year,,Brown,,East,,Basketball,,yes,,none of these,,Snapchat,,yes,,1: 0,,1: 1,,1: 2,,None,,black,,1: 3,,1: 14,,1: 5,,What even is the Perimeter ,,Other,,1: 2,,Yes,,Ketchup,,no,,"no, I was not eligible due to age or citizenship status",,Independent,,Time,,1: 8,,1: 4,,1: 7,,1: 2,,Coke,,Rachel,,2,,House Stark,,House of Cards,,Soft tacos,,Charizard,,1: 6,,Cheddar,,Dog,,Pizza,,chocolate,,Chipotle,,No,,No,,Pine,,1: 59,,powdered eggs,,Game of Thrones,,Game of Thrones,,Ravenclaw (because I’m better than you),,1: 2,
649572,0,,1: 3,,Mid-Atlantic,,Senior,,Brown,,West,,Other,,meh,,none of these,,Facebook,,yes,,1: 2,,1: 1,,1: 2,,Nutella,,none,,1: 5,,1: 16,,1: 1,,What even is the Perimeter ,,Divinity Refectory,,1: 2,,Yes,,Honey Mustard,,no,,yes,,Independent,,Time,,1: 5,,1: 1,,1: 0,,1: 3,,Coke,,Joey,,2,,House Lannister,,House of Cards,,Burrito Bowl,,Charizard,,No Answer,,Goat,,Dog,,Cookout,,chocolate,,Chamas,,No,,No,,Pine,,1: 50,,watery pasta,,Lord of the Rings/Hobbit,,Lord of the Rings,,Ravenclaw (because I’m better than you),,1: 1,
649611,0,,No Answer,,Southwest,,Sophomore,,Black,,West,,Basketball,,hell yes,,Kanye West,,Facebook,,yes,,1: 1,,1: 3,,1: 0,,All three,,none,,1: 8,,1: 17,,1: 5,,What even is the Perimeter ,,The Loop,,1: 4,,Yes,,Sriracha,,no,,"no, I was not eligible due to age or citizenship status",,SLG,,Time,,1: 12,,1: 1,,1: 0,,1: 2,,Coke,,Joey,,4,,House Stark,,House of Cards,,Burrito,,Jigglypuff,,1: 5,,Pepperjack,,Dog,,Pitchforks,,vanilla,,Chamas,,Shhhhh….,,No,,Clean Laundry,,1: 45,,watery pasta,,Harry Potter,,Harry Potter,,Slytherin (because I’ll cut you),,1: 0,
